Origin,Orig_code,Destination,Dest_code,Flow,vi1_origpop,wj1_destpop,vi2_origunemp,wj2_destunemp,vi3_origmedinc,wj3_destmedinc,vi4_origpctrent,wj4_destpctrent,flow_no_intra,offset,dist,unconstrainedEst1
Greater Sydney,1GSYD,Rest of NSW,1RNSW,91031,4391673,2512952,5.74,6.12,780.64,509.97,31.77,27.2,91031,1,391.4378704199897,45500
Greater Sydney,1GSYD,Greater Melbourne,2GMEL,22601,4391673,3999981,5.74,5.47,780.64,407.95,31.77,27.34,22601,1,682.7449826037893,11964
Greater Sydney,1GSYD,Rest of Vic,2RVIC,4416,4391673,1345717,5.74,5.17,780.64,506.58,31.77,24.08,4416,1,685.8483773594312,14723
Greater Sydney,1GSYD,Greater Brisbane,3GBRI,22888,4391673,2065998,5.74,5.86,780.64,767.08,31.77,33.19,22888,1,707.9080988439491,20926
Greater Sydney,1GSYD,Rest of Qld,3RQLD,27445,4391673,2253723,5.74,6.22,780.64,446.48,31.77,32.57,27445,1,1386.4854391432805,3175
Greater Sydney,1GSYD,Greater Adelaide,4GADE,5817,4391673,1225235,5.74,5.78,780.64,445.53,31.77,28.27,5817,1,1112.3156891073747,4923
Greater Sydney,1GSYD,Rest of SA,4RSAU,795,4391673,368260,5.74,5.45,780.64,522.71,31.77,26.17,795,1,1462.1713346980753,3342
Greater Sydney,1GSYD,Greater Perth,5GPER,10574,4391673,1728865,5.74,4.76,780.64,730.84,31.77,27.52,10574,1,3226.0863318240104,960
Greater Sydney,1GSYD,Rest of WA,5RWAU,2128,4391673,502593,5.74,4.42,780.64,758.44,31.77,32.14,2128,1,2870.9957482440263,1258
Greater Sydney,1GSYD,Greater Hobart,6GHOB,1644,4391673,211655,5.74,5.74,780.64,442.9,31.77,27.51,1644,1,1064.8481767037756,5340
Greater Sydney,1GSYD,Rest of Tas,6RTAS,1996,4391673,282509,5.74,6.84,780.64,540.45,31.77,24.95,1996,1,999.7580423648309,7392
Greater Sydney,1GSYD,Greater Darwin,7GDAR,1985,4391673,120586,5.74,3.6,780.64,902.6,31.77,41.42,1985,1,3062.9793105075846,1315
